,funded_amnt,addr_state,annual_inc,application_type,dti,earliest_cr_line,emp_length,emp_title,fico_range_high,fico_range_low,grade,home_ownership,id,initial_list_status,installment,int_rate,loan_amnt,mort_acc,open_acc,pub_rec,pub_rec_bankruptcies,purpose,revol_bal,revol_util,sub_grade,term,title,total_acc,verification_status,zip_code,last_pymnt_amnt,num_actv_rev_tl,mo_sin_rcnt_rev_tl_op,mo_sin_old_rev_tl_op,bc_util,bc_open_to_buy,avg_cur_bal,acc_open_past_24mths
8923,25000.0,OH,70490.0,Individual,14.03,Sep-2002,2 years,Property manager ,714.0,710.0,E,RENT,67799043,w,662.21,19.99,25000.0,6.0,9.0,2.0,1.0,small_business,3630.0,12.6,E4, 60 months,Business,21.0,Verified,441xx,662.21,4.0,4.0,104.0,62.6,1046.0,3891.0,4.0
9804,15000.0,IL,108000.0,Individual,5.87,Feb-2004,< 1 year,Sales manager,674.0,670.0,B,MORTGAGE,67868720,w,488.53,10.64,15000.0,2.0,17.0,3.0,0.0,home_improvement,8689.0,19.6,B4, 36 months,Home improvement,29.0,Source Verified,613xx,7343.91,12.0,1.0,142.0,22.4,29015.0,5490.0,3.0
9709,16000.0,LA,95000.0,Individual,18.6,Jul-1990,< 1 year,Communication Planning Analyst ,694.0,690.0,B,RENT,67918777,w,514.48,9.76,16000.0,0.0,16.0,1.0,1.0,credit_card,6671.0,59.6,B3, 36 months,Credit card refinancing,23.0,Verified,700xx,6884.7,3.0,5.0,305.0,92.5,374.0,8728.0,6.0
8457,17000.0,CT,67000.0,Individual,9.62,Nov-2007,6 years,Mechanic,724.0,720.0,B,MORTGAGE,65976919,w,541.95,9.17,17000.0,1.0,11.0,0.0,0.0,car,5901.0,21.4,B2, 36 months,Debt consolidation,26.0,Not Verified,060xx,15461.41,1.0,6.0,97.0,22.1,20799.0,15899.0,6.0
8703,24000.0,KS,95000.0,Individual,17.57,Mar-1999,10+ years,Manufacturing Engr.,734.0,730.0,B,MORTGAGE,67755446,w,491.01,8.38,24000.0,2.0,15.0,0.0,0.0,debt_consolidation,20692.0,25.0,B1, 60 months,Debt consolidation,30.0,Verified,671xx,16886.21,8.0,5.0,151.0,28.1,51850.0,8188.0,6.0
2370,35000.0,CT,100000.0,Individual,33.52,Jun-1992,10+ years,Lead Diagnostic Technologist,694.0,690.0,E,RENT,68435054,w,956.35,21.48,35000.0,0.0,17.0,0.0,0.0,debt_consolidation,39124.0,97.3,E5, 60 months,Debt consolidation,29.0,Verified,066xx,28285.53,10.0,24.0,200.0,97.2,1095.0,7225.0,3.0
5516,33000.0,CA,75000.0,Individual,23.5,May-1998,8 years,Senior Budget Analyst,679.0,675.0,G,RENT,68383173,w,1007.47,26.99,33000.0,3.0,14.0,0.0,0.0,debt_consolidation,26252.0,64.3,G1, 60 months,Debt consolidation,29.0,Source Verified,953xx,1007.47,5.0,6.0,211.0,95.3,1230.0,4667.0,7.0
8860,5700.0,CA,15000.0,Individual,28.32,Jan-1967,< 1 year,driver helper,714.0,710.0,C,RENT,66606265,w,196.15,14.48,5700.0,0.0,9.0,0.0,0.0,other,6203.0,88.6,C5, 36 months,Other,27.0,Source Verified,939xx,195.88,2.0,52.0,587.0,88.6,797.0,1895.0,0.0
5970,25000.0,VA,80000.0,Individual,11.99,Feb-1997,2 years,Teacher,709.0,705.0,A,OWN,68232392,w,766.12,6.49,25000.0,1.0,19.0,0.0,0.0,credit_card,62041.0,48.1,A2, 36 months,Credit card refinancing,31.0,Not Verified,240xx,19970.44,11.0,1.0,226.0,39.2,52903.0,3447.0,8.0
4849,17600.0,OR,98000.0,Individual,24.88,Mar-1980,5 years,Director of Student Financial Services,684.0,680.0,B,MORTGAGE,68353592,w,566.26,9.8,17600.0,1.0,19.0,0.0,0.0,credit_card,22619.0,52.4,B3, 36 months,Credit card refinancing,54.0,Verified,971xx,15644.17,7.0,2.0,422.0,53.4,16689.0,13220.0,9.0
2508,8000.0,FL,46000.0,Individual,28.96,Mar-2007,10+ years,Secretary,714.0,710.0,B,RENT,68605332,w,257.39,9.8,8000.0,0.0,8.0,0.0,0.0,credit_card,17739.0,80.6,B3, 36 months,Credit card refinancing,10.0,Not Verified,322xx,1759.65,6.0,14.0,96.0,92.0,965.0,4551.0,2.0
8891,9325.0,CT,52000.0,Individual,22.92,Sep-2005,5 years,Clinician,724.0,720.0,A,MORTGAGE,67337012,w,291.74,7.89,9325.0,1.0,22.0,0.0,0.0,debt_consolidation,7791.0,15.7,A5, 36 months,Debt consolidation,41.0,Not Verified,064xx,291.69,7.0,8.0,100.0,17.8,34617.0,14482.0,7.0
9906,6400.0,CA,51000.0,Individual,20.64,Aug-2002,3 years,SENIOR RELATIONSHIP BANKER,724.0,720.0,B,RENT,67888851,w,205.79,9.76,6400.0,2.0,26.0,1.0,1.0,debt_consolidation,3114.0,11.6,B3, 36 months,Debt consolidation,44.0,Verified,932xx,3472.27,4.0,3.0,160.0,15.7,16441.0,2674.0,15.0
7522,15000.0,WV,108000.0,Individual,13.08,Sep-2004,1 year,SERVICE MANAGER,679.0,675.0,B,OWN,67959905,w,482.32,9.76,15000.0,0.0,12.0,2.0,0.0,debt_consolidation,528.0,7.1,B3, 36 months,Debt consolidation,24.0,Source Verified,265xx,8547.98,4.0,26.0,83.0,7.1,6872.0,4616.0,6.0
576,20000.0,NJ,53000.0,Individual,15.29,Apr-2005,1 year,Child Family Service Specialist,679.0,675.0,C,RENT,68486666,w,678.13,13.44,20000.0,0.0,13.0,0.0,0.0,debt_consolidation,16180.0,59.1,C3, 36 months,Debt consolidation,25.0,Verified,089xx,678.13,8.0,3.0,121.0,72.7,4996.0,1651.0,8.0
949,6400.0,MA,54000.0,Individual,27.44,Jun-2001,10+ years,Administrative Secretary,684.0,680.0,C,RENT,68386391,w,217.01,13.44,6400.0,0.0,8.0,0.0,0.0,debt_consolidation,1101.0,21.2,C3, 36 months,Debt consolidation,21.0,Source Verified,021xx,217.01,5.0,1.0,117.0,10.8,2318.0,11127.0,5.0
2965,22025.0,TX,145000.0,Individual,18.56,Jun-1997,< 1 year,"Director, Treasury Sales",694.0,690.0,E,RENT,68494752,w,807.24,18.99,22025.0,1.0,9.0,0.0,0.0,credit_card,11279.0,86.0,E1, 36 months,Credit card refinancing,23.0,Verified,770xx,18683.83,6.0,4.0,222.0,101.0,2738.0,5517.0,5.0
1968,3500.0,MD,48000.0,Individual,33.95,Feb-2006,4 years,insulator mechanic,759.0,755.0,D,RENT,68465006,w,124.08,16.59,3500.0,0.0,6.0,0.0,0.0,vacation,323.0,5.2,D2, 36 months,Vacation,16.0,Source Verified,212xx,124.08,3.0,15.0,59.0,5.2,5877.0,5621.0,7.0
511,8000.0,OH,65000.0,Individual,22.05,Mar-1996,< 1 year,QA nurse,689.0,685.0,B,RENT,68446226,w,255.04,9.17,8000.0,1.0,13.0,0.0,0.0,major_purchase,13171.0,79.8,B2, 36 months,Major purchase,35.0,Verified,431xx,2.35,5.0,6.0,237.0,100.4,0.0,8543.0,3.0
5238,10000.0,GA,150000.0,Individual,19.66,Sep-1990,10+ years,Associate Broker,709.0,705.0,A,OWN,68583418,w,306.45,6.49,10000.0,4.0,18.0,0.0,0.0,credit_card,24530.0,27.9,A2, 36 months,Credit card refinancing,34.0,Source Verified,314xx,5279.73,9.0,3.0,303.0,25.1,62232.0,14476.0,10.0
5594,16800.0,OH,40000.0,Individual,22.23,Oct-2005,2 years,owner,679.0,675.0,D,RENT,68212777,w,595.55,16.59,16800.0,0.0,8.0,0.0,0.0,debt_consolidation,16178.0,79.3,D2, 36 months,Debt consolidation,11.0,Source Verified,432xx,595.24,6.0,9.0,122.0,79.4,2534.0,4005.0,2.0
6549,11000.0,FL,93000.0,Individual,8.32,Jul-2005,4 years,master technician,754.0,750.0,A,MORTGAGE,68252424,w,331.27,5.32,11000.0,1.0,7.0,0.0,0.0,credit_card,14998.0,38.4,A1, 36 months,Credit card refinancing,16.0,Not Verified,335xx,10778.89,2.0,11.0,117.0,2.9,14364.0,37451.0,4.0
9159,15000.0,FL,55000.0,Individual,9.47,May-2004,10+ years,Planner,679.0,675.0,D,RENT,67949157,w,377.41,17.57,15000.0,0.0,4.0,0.0,0.0,debt_consolidation,1371.0,18.5,D4, 60 months,Debt consolidation,9.0,Source Verified,347xx,14731.23,2.0,36.0,139.0,18.5,6029.0,1888.0,0.0
9044,5000.0,CA,52000.0,Individual,15.09,May-1999,7 years,Customer Representative,674.0,670.0,D,MORTGAGE,67819135,w,179.69,17.57,5000.0,1.0,12.0,1.0,1.0,debt_consolidation,3235.0,12.7,D4, 36 months,Debt consolidation,20.0,Verified,922xx,4779.97,3.0,1.0,199.0,39.3,4673.0,3490.0,10.0
1717,6000.0,OH,42000.0,Individual,26.99,Oct-2001,9 years,truck driver,719.0,715.0,B,MORTGAGE,68445419,w,197.8,11.48,6000.0,0.0,7.0,0.0,0.0,other,13479.0,77.5,B5, 36 months,Other,14.0,Verified,431xx,197.8,5.0,12.0,120.0,97.8,109.0,3774.0,2.0
5837,7000.0,UT,78000.0,Individual,20.26,May-2004,7 years,Maintenenca/Transportation Manager,709.0,705.0,B,MORTGAGE,68113034,w,230.77,11.48,7000.0,3.0,14.0,0.0,0.0,debt_consolidation,5859.0,33.5,B5, 36 months,Debt consolidation,26.0,Verified,840xx,4421.21,7.0,1.0,135.0,43.6,5362.0,14547.0,12.0
9282,14000.0,CA,45000.0,Individual,16.88,Jul-2010,4 years,business sales engineer,689.0,685.0,A,MORTGAGE,67968901,w,438.0,7.89,14000.0,2.0,22.0,0.0,0.0,debt_consolidation,15725.0,55.4,A5, 36 months,Debt consolidation,24.0,Not Verified,935xx,437.95,6.0,9.0,41.0,77.0,3797.0,10535.0,6.0
5031,2400.0,CO,14000.0,Individual,30.87,Aug-2007,3 years,Owner,674.0,670.0,D,RENT,68383505,w,85.08,16.59,2400.0,0.0,4.0,0.0,0.0,credit_card,3265.0,79.6,D2, 36 months,Credit card refinancing,7.0,Source Verified,800xx,1101.33,3.0,1.0,100.0,79.6,835.0,4616.0,4.0
141,2500.0,CT,16488.0,Individual,38.06,Nov-2005,,,774.0,770.0,B,RENT,68446591,w,82.42,11.48,2500.0,0.0,12.0,0.0,0.0,debt_consolidation,2469.0,8.2,B5, 36 months,Debt consolidation,18.0,Not Verified,064xx,82.26,2.0,18.0,104.0,11.4,18432.0,2045.0,5.0
2463,25000.0,WA,37856.0,Joint App,23.17,Sep-1996,10+ years,Service Operations Manager,674.0,670.0,E,MORTGAGE,68435132,w,648.38,18.99,25000.0,3.0,6.0,2.0,0.0,debt_consolidation,9624.0,89.1,E1, 60 months,Debt consolidation,13.0,Verified,986xx,139.83,2.0,25.0,231.0,98.2,176.0,24455.0,1.0
1510,6000.0,MO,22652.0,Individual,36.3,Feb-1998,6 years,Prep and Lobby Person,674.0,670.0,C,OWN,68445585,w,203.44,13.44,6000.0,1.0,9.0,1.0,1.0,other,4205.0,39.3,C3, 36 months,Other,22.0,Source Verified,638xx,203.34,4.0,26.0,214.0,57.3,1496.0,3126.0,2.0
1835,10000.0,TN,45500.0,Individual,28.09,Sep-2004,1 year,Registered Nurse,714.0,710.0,B,MORTGAGE,67465256,f,318.79,9.17,10000.0,1.0,35.0,0.0,0.0,debt_consolidation,11444.0,31.5,B2, 36 months,Debt consolidation,57.0,Not Verified,380xx,209.49,7.0,14.0,128.0,32.3,6903.0,7004.0,6.0
7584,10000.0,GA,64000.0,Individual,18.28,Apr-2005,6 years,Medical Technologist 2,664.0,660.0,B,RENT,67969994,w,315.12,8.38,10000.0,1.0,13.0,0.0,0.0,debt_consolidation,9846.0,61.2,B1, 36 months,Debt consolidation,16.0,Source Verified,303xx,0.49,3.0,12.0,118.0,84.5,309.0,3804.0,3.0
7036,2500.0,TX,16727.0,Individual,21.39,Dec-1997,< 1 year,Teacher's Aide,679.0,675.0,C,OWN,68172213,w,84.77,13.44,2500.0,0.0,5.0,0.0,0.0,other,2185.0,87.4,C3, 36 months,Other,15.0,Source Verified,770xx,248.67,3.0,14.0,216.0,83.1,254.0,7708.0,4.0
1564,15000.0,CA,60000.0,Individual,27.53,Aug-2005,7 years,Manager,729.0,725.0,B,RENT,68425588,w,482.61,9.8,15000.0,0.0,17.0,0.0,0.0,credit_card,14631.0,28.5,B3, 36 months,Credit card refinancing,25.0,Verified,959xx,964.03,8.0,2.0,124.0,42.0,17752.0,4579.0,7.0
1953,4250.0,MI,55950.0,Individual,15.59,Dec-1985,3 years,business coordinator ,669.0,665.0,C,MORTGAGE,68475184,w,142.96,12.88,4250.0,3.0,4.0,2.0,1.0,debt_consolidation,1208.0,39.0,C2, 36 months,Debt consolidation,19.0,Not Verified,486xx,11.09,3.0,4.0,360.0,39.0,1033.0,2360.0,4.0
5689,10000.0,WV,70000.0,Individual,17.85,Mar-1994,3 years,senior property engineer,669.0,665.0,B,OWN,68183111,w,318.79,9.17,10000.0,0.0,6.0,0.0,0.0,debt_consolidation,1505.0,47.0,B2, 36 months,Debt consolidation,29.0,Not Verified,254xx,3376.67,1.0,53.0,261.0,75.2,495.0,5391.0,3.0
2821,12000.0,GA,160000.0,Individual,18.95,May-2000,2 years,"Manager, Health & PublicService",669.0,665.0,C,MORTGAGE,68603692,w,403.64,12.88,12000.0,4.0,16.0,0.0,0.0,debt_consolidation,62285.0,67.9,C2, 36 months,Debt consolidation,36.0,Verified,301xx,403.64,9.0,8.0,179.0,62.1,19366.0,20231.0,4.0
778,25000.0,MA,118450.0,Individual,25.97,Nov-1991,2 years,Underwriter,699.0,695.0,C,MORTGAGE,68192729,w,592.79,14.85,25000.0,2.0,12.0,0.0,0.0,debt_consolidation,50627.0,87.1,C5, 60 months,Debt consolidation,23.0,Not Verified,017xx,24605.14,6.0,4.0,289.0,86.8,5939.0,30024.0,5.0
4737,8000.0,NY,38000.0,Individual,10.3,Aug-2006,3 years,Orderfiller,714.0,710.0,B,RENT,68593617,w,261.08,10.78,8000.0,0.0,6.0,0.0,0.0,car,873.0,12.7,B4, 36 months,Car financing,17.0,Not Verified,133xx,4877.03,2.0,2.0,112.0,17.7,2221.0,772.0,4.0
4830,8000.0,FL,65000.0,Individual,21.57,Mar-1995,2 years,Mortgage Underwriter,794.0,790.0,A,OWN,68453669,w,240.92,5.32,8000.0,2.0,19.0,0.0,0.0,debt_consolidation,6753.0,8.4,A1, 36 months,Debt consolidation,31.0,Not Verified,327xx,240.92,8.0,2.0,249.0,10.6,49285.0,3984.0,7.0
1848,6000.0,OH,41000.0,Individual,15.06,Aug-2002,2 years,Teacher,734.0,730.0,A,RENT,68365788,w,187.77,7.91,6000.0,0.0,8.0,0.0,0.0,debt_consolidation,7068.0,27.4,A5, 36 months,Debt consolidation,22.0,Verified,435xx,1320.46,3.0,10.0,131.0,29.7,16732.0,3256.0,4.0
7577,16975.0,FL,114000.0,Individual,14.86,Sep-1996,5 years,Criminal Investigator ,689.0,685.0,D,MORTGAGE,67960017,w,417.78,16.55,16975.0,4.0,10.0,0.0,0.0,credit_card,37526.0,83.6,D2, 60 months,Credit card refinancing,32.0,Not Verified,329xx,15548.99,3.0,31.0,132.0,90.9,991.0,48505.0,4.0
3254,18500.0,MN,72450.0,Individual,17.23,Dec-1998,10+ years,Branch Manager,739.0,735.0,A,MORTGAGE,68574998,w,566.93,6.49,18500.0,4.0,21.0,0.0,0.0,debt_consolidation,7467.0,18.5,A2, 36 months,Debt consolidation,40.0,Not Verified,554xx,566.63,8.0,2.0,204.0,35.7,9005.0,11440.0,10.0
8058,30000.0,TX,122000.0,Individual,8.9,May-1982,9 years,Director,804.0,800.0,A,MORTGAGE,67909670,w,938.57,7.89,30000.0,1.0,11.0,0.0,0.0,debt_consolidation,23318.0,19.1,A5, 36 months,Debt consolidation,12.0,Verified,750xx,763.33,4.0,5.0,397.0,16.1,90665.0,40624.0,6.0
9598,10000.0,TX,65000.0,Individual,16.43,Nov-1992,10+ years,Customer service,684.0,680.0,C,MORTGAGE,67988729,w,334.97,12.59,10000.0,2.0,17.0,0.0,0.0,credit_card,9566.0,26.7,C2, 36 months,Credit card refinancing,35.0,Source Verified,782xx,334.9,9.0,2.0,277.0,28.1,15743.0,5408.0,7.0
6202,30800.0,AR,70000.0,Individual,22.72,Feb-2004,10+ years,Math/Social Studies Teacher,699.0,695.0,C,MORTGAGE,67979369,w,698.91,12.88,30800.0,3.0,15.0,0.0,0.0,credit_card,22127.0,48.4,C2, 60 months,Credit card refinancing,29.0,Verified,719xx,24849.89,7.0,0.0,142.0,54.3,17420.0,13200.0,7.0
8883,14400.0,MA,48000.0,Individual,21.3,Jan-1994,10+ years,Manager,679.0,675.0,D,RENT,67798731,f,354.41,16.55,14400.0,0.0,15.0,1.0,1.0,debt_consolidation,4730.0,26.1,D2, 60 months,Debt consolidation,32.0,Not Verified,018xx,11209.29,4.0,1.0,263.0,27.4,10970.0,1559.0,11.0
9933,12000.0,CA,175000.0,Individual,19.09,Jan-1991,3 years,"Vice President, Advisory Services",674.0,670.0,B,RENT,67809024,w,378.15,8.38,12000.0,0.0,11.0,0.0,0.0,debt_consolidation,4116.0,26.6,B1, 36 months,Debt consolidation,26.0,Verified,948xx,377.89,2.0,7.0,299.0,86.3,465.0,8389.0,6.0
5794,16000.0,PA,160000.0,Individual,31.57,Jun-1997,2 years,AVP Insurance Solutions,689.0,685.0,C,MORTGAGE,66634489,w,363.07,12.88,16000.0,6.0,19.0,0.0,0.0,debt_consolidation,26978.0,69.4,C2, 60 months,Debt consolidation,57.0,Source Verified,193xx,14499.77,6.0,9.0,222.0,74.6,5251.0,20815.0,10.0
9977,12000.0,MA,45000.0,Individual,24.16,Jul-1994,1 year,Emergency Service Mental HealthClinician,669.0,665.0,B,MORTGAGE,67828675,w,390.83,10.64,12000.0,3.0,12.0,0.0,0.0,debt_consolidation,13306.0,68.9,B4, 36 months,Debt consolidation,33.0,Verified,015xx,390.83,4.0,22.0,257.0,73.5,4794.0,17287.0,1.0
1289,3775.0,TX,62000.0,Individual,8.75,Jun-2012,10+ years,Financial Analyst,694.0,690.0,B,RENT,68515712,w,124.45,11.48,3775.0,0.0,11.0,0.0,0.0,debt_consolidation,3491.0,28.9,B5, 36 months,Debt consolidation,13.0,Source Verified,787xx,27.76,7.0,2.0,23.0,42.0,4467.0,1046.0,12.0
1323,7200.0,KY,60000.0,Individual,26.64,Aug-2002,8 years,Contracts,674.0,670.0,B,RENT,68355850,w,237.36,11.48,7200.0,0.0,16.0,0.0,0.0,debt_consolidation,4177.0,44.9,B5, 36 months,Debt consolidation,30.0,Verified,402xx,237.36,5.0,13.0,65.0,44.9,5123.0,13750.0,4.0
8962,9000.0,FL,78000.0,Individual,30.26,Dec-1992,7 years,Software Support Engineer,834.0,830.0,A,MORTGAGE,67919125,w,271.04,5.32,9000.0,3.0,19.0,0.0,0.0,debt_consolidation,5931.0,6.6,A1, 36 months,Debt consolidation,44.0,Not Verified,322xx,270.77,5.0,9.0,276.0,2.3,52449.0,10650.0,4.0
8143,10650.0,NY,37000.0,Individual,9.73,May-1991,5 years,Asian Marketing,699.0,695.0,C,MORTGAGE,67969623,w,366.48,14.48,10650.0,4.0,14.0,0.0,0.0,home_improvement,9523.0,25.5,C5, 36 months,Home improvement,34.0,Verified,141xx,366.48,7.0,3.0,125.0,34.8,15977.0,7973.0,12.0
769,21275.0,MN,56035.0,Individual,32.79,Feb-2000,4 years,Driver Manager,689.0,685.0,C,MORTGAGE,68485971,w,735.95,14.85,21275.0,0.0,12.0,0.0,0.0,debt_consolidation,17826.0,65.1,C5, 36 months,Debt consolidation,17.0,Verified,557xx,15955.27,8.0,4.0,110.0,67.4,8125.0,5777.0,8.0
2912,12000.0,MN,130000.0,Individual,4.82,Jun-1998,10+ years,Process Engineer,694.0,690.0,B,RENT,68544971,w,378.76,8.49,12000.0,4.0,13.0,0.0,0.0,debt_consolidation,5854.0,23.7,B1, 36 months,Debt consolidation,30.0,Source Verified,553xx,378.55,7.0,5.0,210.0,25.8,16177.0,1774.0,4.0
3842,6050.0,TX,65000.0,Individual,35.32,Jun-2006,8 years,registered nurse,704.0,700.0,E,MORTGAGE,67819926,w,223.24,19.48,6050.0,3.0,14.0,0.0,0.0,debt_consolidation,20153.0,69.3,E2, 36 months,Debt consolidation,22.0,Not Verified,750xx,223.24,5.0,19.0,114.0,96.6,550.0,20341.0,4.0
4339,15000.0,FL,56000.0,Individual,24.92,Nov-1994,6 years,IT Helpdesk,684.0,680.0,B,MORTGAGE,68503619,w,317.24,9.8,15000.0,2.0,23.0,0.0,0.0,credit_card,15733.0,23.9,B3, 60 months,Credit card refinancing,37.0,Not Verified,330xx,7725.16,9.0,3.0,253.0,25.5,30988.0,9141.0,10.0
966,24000.0,AZ,48000.0,Individual,16.58,Oct-1990,,,739.0,735.0,A,MORTGAGE,68366448,w,746.44,7.49,24000.0,4.0,7.0,0.0,0.0,credit_card,33552.0,47.5,A4, 36 months,Credit card refinancing,17.0,Not Verified,853xx,746.41,5.0,25.0,302.0,44.0,35664.0,31491.0,0.0
6510,16000.0,TX,130000.0,Individual,21.74,Dec-1986,10+ years,Quality Manager,739.0,735.0,A,MORTGAGE,68302558,f,481.84,5.32,16000.0,5.0,11.0,0.0,0.0,debt_consolidation,20754.0,35.9,A1, 36 months,Debt consolidation,27.0,Not Verified,760xx,481.7,4.0,22.0,348.0,43.4,27046.0,14935.0,1.0
5771,10800.0,CA,47000.0,Individual,5.98,Mar-1984,< 1 year,Receptionist,674.0,670.0,B,RENT,68213125,w,344.3,9.17,10800.0,1.0,6.0,0.0,0.0,medical,7527.0,18.4,B2, 36 months,Medical expenses,11.0,Source Verified,944xx,7877.2,3.0,4.0,381.0,18.4,33473.0,1575.0,3.0
6051,18000.0,CT,115000.0,Individual,8.24,Nov-2008,5 years,Research Analyst,689.0,685.0,A,MORTGAGE,68102747,w,555.71,6.99,18000.0,3.0,10.0,0.0,0.0,credit_card,15868.0,49.9,A3, 36 months,Credit card refinancing,19.0,Verified,069xx,555.53,4.0,13.0,85.0,51.2,11868.0,30637.0,7.0
9687,7000.0,CA,74976.0,Individual,15.84,Jan-2011,5 years,Clinical Laboratory Scientist,719.0,715.0,A,RENT,67958743,w,216.98,7.26,7000.0,0.0,21.0,0.0,0.0,debt_consolidation,14423.0,18.5,A4, 36 months,Debt consolidation,25.0,Not Verified,926xx,5050.26,15.0,1.0,59.0,25.3,29720.0,1434.0,11.0
5565,1500.0,TX,80000.0,Individual,25.87,Sep-1983,6 years,Vocational Counselor,694.0,690.0,A,MORTGAGE,68543208,w,46.66,7.49,1500.0,1.0,24.0,0.0,0.0,other,9111.0,33.1,A4, 36 months,Other,43.0,Not Verified,770xx,90.28,9.0,3.0,387.0,35.1,4546.0,3232.0,6.0
8916,15000.0,GA,257000.0,Individual,9.82,Feb-1988,2 years,Head of School,714.0,710.0,A,RENT,67849222,w,464.95,7.26,15000.0,0.0,23.0,0.0,0.0,credit_card,46750.0,41.8,A4, 36 months,Credit card refinancing,37.0,Source Verified,303xx,2.83,9.0,1.0,123.0,49.6,44610.0,6492.0,7.0
2603,2750.0,NY,104000.0,Individual,24.65,Nov-1995,10+ years,Law Enforcement,674.0,670.0,B,MORTGAGE,68594904,w,90.66,11.48,2750.0,4.0,17.0,0.0,0.0,major_purchase,26273.0,73.4,B5, 36 months,Major purchase,43.0,Verified,144xx,1959.69,9.0,12.0,241.0,97.0,654.0,13843.0,3.0
5273,30000.0,FL,100000.0,Individual,30.3,Aug-1998,10+ years,Software Developer,674.0,670.0,D,MORTGAGE,68473320,w,1063.48,16.59,30000.0,4.0,24.0,0.0,0.0,debt_consolidation,100204.0,74.7,D2, 36 months,Debt consolidation,48.0,Verified,338xx,1063.48,11.0,2.0,208.0,72.5,26438.0,13298.0,10.0
1713,4900.0,NC,31000.0,Individual,10.76,Sep-2006,< 1 year,technician,724.0,720.0,B,RENT,68515694,w,161.54,11.48,4900.0,0.0,12.0,0.0,0.0,medical,919.0,11.5,B5, 36 months,Medical expenses,15.0,Verified,274xx,21.28,2.0,3.0,49.0,23.1,2308.0,2209.0,1.0
92,20000.0,TN,55000.0,Individual,29.15,Sep-1994,6 years,"TEAM LEAD, QUALITY ENGINEER",754.0,750.0,A,MORTGAGE,68426699,w,612.89,6.49,20000.0,1.0,9.0,0.0,0.0,debt_consolidation,4851.0,23.8,A2, 36 months,Debt consolidation,23.0,Not Verified,381xx,612.85,3.0,8.0,255.0,21.9,9924.0,25644.0,5.0
9597,7000.0,NY,75000.0,Individual,20.24,Oct-1995,10+ years,lettercarrier,684.0,680.0,C,MORTGAGE,68018867,w,232.47,11.99,7000.0,2.0,11.0,2.0,0.0,debt_consolidation,3794.0,77.4,C1, 36 months,Debt consolidation,26.0,Source Verified,145xx,6770.36,4.0,1.0,242.0,97.3,106.0,13416.0,6.0
6781,19200.0,MD,142000.0,Individual,35.09,Aug-1996,10+ years,Military Officer,709.0,705.0,D,RENT,67828307,w,698.86,18.49,19200.0,1.0,11.0,0.0,0.0,small_business,0.0,,D5, 36 months,,66.0,Not Verified,207xx,698.86,0.0,141.0,232.0,,,9873.0,12.0
1237,3600.0,NJ,106000.0,Individual,12.94,Apr-2000,10+ years,Assistant Director ,704.0,700.0,D,RENT,67266487,w,126.16,15.77,3600.0,0.0,7.0,1.0,1.0,moving,2882.0,23.1,D1, 36 months,Moving and relocation,16.0,Verified,070xx,1522.1,3.0,2.0,188.0,23.1,9618.0,6880.0,7.0
6344,8000.0,FL,50000.0,Individual,31.52,Mar-2004,2 years,Driver,669.0,665.0,C,MORTGAGE,68122630,w,273.39,13.99,8000.0,1.0,12.0,1.0,1.0,debt_consolidation,8906.0,35.1,C4, 36 months,Debt consolidation,31.0,Not Verified,322xx,5159.29,7.0,6.0,141.0,56.8,4750.0,11070.0,9.0
4586,33000.0,NY,75000.0,Individual,11.04,Jun-2001,10+ years,facilities assistant,679.0,675.0,D,OWN,67989850,w,837.45,17.97,33000.0,1.0,15.0,0.0,0.0,debt_consolidation,34326.0,57.1,D4, 60 months,Debt consolidation,27.0,Source Verified,115xx,25672.84,10.0,0.0,174.0,54.8,22213.0,29498.0,4.0
9556,15000.0,MI,50000.0,Individual,12.77,Dec-1989,10+ years,Owner,749.0,745.0,A,OWN,67898855,w,464.95,7.26,15000.0,3.0,10.0,0.0,0.0,small_business,4544.0,8.0,A4, 36 months,Business,29.0,Not Verified,490xx,2298.85,3.0,16.0,312.0,7.8,22601.0,10778.0,5.0
2558,21000.0,WA,133308.0,Individual,24.17,Oct-1996,10+ years,Senior Auditor,719.0,715.0,E,MORTGAGE,67536226,w,550.32,19.48,21000.0,5.0,27.0,0.0,0.0,credit_card,45924.0,68.6,E2, 60 months,Credit card refinancing,48.0,Verified,981xx,18271.54,14.0,8.0,191.0,35.5,16635.0,22524.0,16.0
9619,12000.0,LA,60000.0,Individual,4.4,Feb-1994,10+ years,CODER,694.0,690.0,B,MORTGAGE,67888969,w,378.15,8.38,12000.0,3.0,8.0,0.0,0.0,debt_consolidation,7523.0,30.0,B1, 36 months,Debt consolidation,22.0,Source Verified,712xx,8763.3,4.0,7.0,262.0,39.5,9685.0,17414.0,4.0
9,8000.0,RI,42000.0,Individual,34.8,Nov-1994,10+ years,Vendor liaison,704.0,700.0,B,MORTGAGE,68616873,w,263.74,11.48,8000.0,1.0,8.0,0.0,0.0,credit_card,7034.0,39.1,B5, 36 months,Credit card refinancing,18.0,Not Verified,029xx,4996.24,3.0,15.0,253.0,41.4,9966.0,28528.0,5.0
